codigo,producto,familia,cantidad,coste,venta,margen_coste,margen_venta,beneficio,familia_legible
008027,ALCACHOFA ,AQ JR,5.0,7.1,10.25,0.312676056338028,0.238197424892704,3.1500000000000004,otros
008034,ALCACHOFA ,AQ JR,8.0,10.83,14.8,0.242424242424242,0.195121951219512,3.9700000000000006,otros
205828,ALCACHOFA ,AQ JR,7.0,9.0,16.19,0.635353535353534,0.38851142680667006,7.190000000000001,otros
205812,ALCACHOFA ,AQ JR,4.0,4.86,7.64,0.429218106995885,0.300316729052692,2.78,otros
212170,ALCAPARRA ,AQ JV,13.0,8.84,17.55,0.804596873714523,0.445859618529853,8.71,otros
207028,ALCOHOL ,A3 BA,4.0,4.72,7.6,0.33050847457627097,0.248407643312102,2.88,otros
005601,ALCOHOL ,A3 BU,6.0,3.54,4.86,0.24766307139188498,0.19850156430100402,1.3200000000000005,otros
600865,ALCOHOL ,A3 BU,4.0,3.96,6.0,0.377777777777778,0.27419354838709703,2.04,otros
206467,ALGODON ,A3 BU,6.0,3.06,5.52,0.63921568627451,0.389952153110048,2.4599999999999995,otros
008871,ALIOLI CHOVI ,AQ JA,17.0,16.36,28.05,0.558679706601467,0.35843137254901997,11.69,otros
600011,ALITAS POLLO ,ACKD,8.0,30.53,24.24,-0.278218146085817,-0.385460156108187,-6.290000000000003,carnes
212687,ALMEJA KLOSKA ,A0 K4,4.0,17.2,25.96,0.37209302325581395,0.271186440677966,8.760000000000002,otros
206295,ALMENDRA ,AQ JM,0.0,0.0,0.0,1,1,0.0,otros
086992,ALMENDRA ,AQ JM,10.0,21.0788,28.9,0.24628881754524598,0.197617770518353,7.821199999999997,otros
026520,ALMENDRA ,AQ JM,17.0,24.46,33.47,0.24398275477588602,0.19613033527932,9.009999999999998,otros
601006,ALMIDON DE ,AQ JB,11.0,18.97,25.85,0.23866391910672402,0.19267851063171298,6.880000000000003,otros
221031,ALTRAMUCES ,AQ JV,7.0,7.84,10.85,0.258070500927644,0.20513198643268002,3.01,otros
8000641,ALUBIA CIDACOS ,AQ JU,8.0,8.07,13.86,0.561315759828772,0.359514567309774,5.789999999999999,otros
033201,ALUBIA ,AQ JJ,3.0,3.63,4.98,0.344628099173554,0.25629993853718497,1.3500000000000003,otros
206595,ALUBIA ,AQ JU,10.0,8.64,10.85,0.141782407407408,0.12417638114546399,2.209999999999999,otros
009305,ALUBIA ,AQ JU,22.0,10.39,14.3,0.251299326275265,0.20083070533035902,3.91,otros
206592,ALUBIA ,AQ JU,59.0,41.18,54.93,0.21277098326636998,0.175442013539367,13.75,otros
206594,ALUBIA ,AQ JU,14.0,12.16,16.3,0.218256578947369,0.179154853516944,4.140000000000001,otros
206593,ALUBIA ,AQ JU,9.0,6.9,10.2,0.343873517786566,0.255882352941179,3.299999999999999,otros
046949,ALUBIA LUENGO ,AQ JJ,10.0,30.4,39.5,0.264281376518219,0.209036834225969,9.1,otros
601121,AMAHOGAR WC ,AB 3V,1.0,1.05,1.6,0.259346713892171,0.205937500000002,0.55,otros
060538,AMBIENT.A.WICK ,A3 BD,2.0,6.9,10.8,0.293623188405797,0.226977369482411,3.9,otros
050527,AMBIENT.A.WICK ,A3 BD,3.0,8.37,13.03,0.286499402628435,0.222696879643388,4.66,otros
050529,AMBIENT.A.WICK ,A3 BD,2.0,6.0,9.98,0.37466115702479397,0.272548005819616,3.98,otros
600846,AMBIENT.,A3 BD,2.0,1.42,3.7,1.36901408450704,0.577883472057075,2.28,otros
  ,,,,,,  ,5,,otros
  ,,,,,,  ,,,otros
Artículo,Descripción,Família,,,,Margen C.,Margen V.,,otros
,,,,,,,,,otros
600847,AMBIENT.,A3 BD,1.0,0.71,1.85,1.36901408450704,0.577883472057075,1.14,otros
600844,AMBIENT.,A3 BD,1.0,0.88,2.05,1.11818181818182,0.527896995708155,1.17,otros
601118,AMBIENTADORSC,AB 3V,1.0,0.73,1.3,0.471753651081178,0.320538461538464,0.5700000000000001,otros
006370,AMONIACO ,A3 A9,54.0,22.56,43.2,0.582327017759804,0.36801938614701696,20.640000000000004,otros
006392,AMONIACO ,A3 A9,55.0,20.94,41.6,0.642026016876239,0.39099625114200004,20.66,otros
